SITE_ID,SITE_TYPE,VISIT_NO.x,DATE_COL,REPEAT,LON_DD.x,LAT_DD.x,ALBERS_X,ALBERS_Y,FLD_LON_DD,FLD_LAT_DD,FLD_FLAG,ST.x,STATE_NAME,CNTYNAME,EPA_REG.x,NHDNAME,LAKENAME,AREA_CAT7.x,BASINAREA_KM2,BASINAREA_HA,BASINAREA_LU_KM2,URBAN.x,ECO_LEV_3.x,ECO_L3_NAM,NUT_REG.x,NUTREG_NAME.x,ECO_NUTA.x,LAKE_ORIGIN.x,AREA_HA,SIZE_CLASS,LAKEAREA,LAKEPERIM,SLD,DEPTH_X,DEPTHMAX,ELEV_PT,HUC_2.x,HUC_8.x,REACHCODE,OmernikLevel_II,PTL,NTL,TURB,ANC,DOC,COND,CHLA,PTL_COND,NTL_COND,CHLA_COND,TURB_COND,ANC_COND,SALINITY_COND,DISTANCE_BUFR,BUFFERAREA_KM2,BUFFERAREA_HA,MISSDATA_KM2_BUFR,NLCD11_KM2_BUFR,NLCD12_KM2_BUFR,NLCD21_KM2_BUFR,NLCD22_KM2_BUFR,NLCD23_KM2_BUFR,NLCD24_KM2_BUFR,NLCD31_KM2_BUFR,NLCD32_KM2_BUFR,NLCD41_KM2_BUFR,NLCD42_KM2_BUFR,NLCD43_KM2_BUFR,NLCD51_KM2_BUFR,NLCD52_KM2_BUFR,NLCD71_KM2_BUFR,NLCD72_KM2_BUFR,NLCD73_KM2_BUFR,NLCD74_KM2_BUFR,NLCD81_KM2_BUFR,NLCD82_KM2_BUFR,NLCD90_KM2_BUFR,NLCD91_KM2_BUFR,NLCD92_KM2_BUFR,NLCD93_KM2_BUFR,NLCD94_KM2_BUFR,NLCD95_KM2_BUFR,NLCD96_KM2_BUFR,NLCD97_KM2_BUFR,NLCD98_KM2_BUFR,NLCD99_KM2_BUFR,LANDUSE_KM2_BUFR,PCT_OPENH20_BUFR,PCT_ICESNOW_BUFR,PCT_WATER_BUFR,PCT_DEVOPEN_BUFR,PCT_DEVLOW_BUFR,PCT_DEVMED_BUFR,PCT_DEVHIGH_BUFR,PCT_DEVELOPED_BUFR,PCT_BARREN_BUFR,PCT_DECID_BUFR,PCT_CONIF_BUFR,PCT_MIXED_BUFR,PCT_FOREST_BUFR,PCT_SHRUBLAND_BUFR,PCT_GRASS_BUFR,PCT_PASTURE_BUFR,PCT_CROPS_BUFR,PCT_AGRIC_BUFR,PCT_WDYWET_BUFR,PCT_EMHERBWET_BUFR,PCT_WETLAND_BUFR,NLCD11_KM2_BSN,NLCD12_KM2_BSN,NLCD21_KM2_BSN,NLCD22_KM2_BSN,NLCD23_KM2_BSN,NLCD24_KM2_BSN,NLCD31_KM2_BSN,NLCD32_KM2_BSN,NLCD41_KM2_BSN,NLCD42_KM2_BSN,NLCD43_KM2_BSN,NLCD51_KM2_BSN,NLCD52_KM2_BSN,NLCD71_KM2_BSN,NLCD72_KM2_BSN,NLCD73_KM2_BSN,NLCD74_KM2_BSN,NLCD81_KM2_BSN,NLCD82_KM2_BSN,NLCD90_KM2_BSN,NLCD91_KM2_BSN,NLCD92_KM2_BSN,NLCD93_KM2_BSN,NLCD94_KM2_BSN,NLCD95_KM2_BSN,NLCD96_KM2_BSN,NLCD97_KM2_BSN,NLCD98_KM2_BSN,NLCD99_KM2_BSN,LANDUSE_KM2_BSN,PCT_OPENH20_BSN,PCT_ICESNOW_BSN,PCT_WATER_BSN,PCT_DEVOPEN_BSN,PCT_DEVLOW_BSN,PCT_DEVMED_BSN,PCT_DEVHIGH_BSN,PCT_DEVELOPED_BSN,PCT_BARREN_BSN,PCT_DECID_BSN,PCT_CONIF_BSN,PCT_MIXED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WDYWET_BSN,PCT_EMHERBWET_BSN,PCT_WETLAND_BSN,BasinAreaToLakeArea_HA,LakePerimToLakeArea,mean.pct.imp_BUFR.1,mean.pct.imp_BSN,pixels.w.impsurf_BSN,roadlen_BUFR,roadDens_BUFR,roadlen_BSN,roadDens_BSN,mean.min.dist_inBUFR,mean.min.dist_inBSN,elev_stdev,elev_maxmin,maxmin_elev_BUFR,stdev_elev_BUFR,mean.pct.imp_BUFR,pixels.w.impsurf_BUFR,Class,Class3,Unstratified.1,ResTime,SedToVolRatio
NLA06608-1008,PROB_Lake,1,7/12/07,,-112.3069538,47.88008342,-1223263.014,1263358.639,-112.30152,47.87959,,MT,Montana,TETON,Region_8,Eureka Reservoir,Eureka Reservoir,>100,4.740139307,474.0139307,4.740139307,NO,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,148.2739359,04:>100-500 ha,1.482739359,7.276625809,1.685748192,8.2,8.2,1258.03,10,10030205,1.00E+13,9.3,4,86,1.17,2590.8,1.8,320,0.52,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,2.892,289.2,0,0.716,0,0,0,0,0,0.189,0,0,0,0,0,0.139,1.323,0,0,0,0,0.047,0.069,0,0,0,0,0.409,0,0,0,0,2.892,24.8,0,24.8,0,0,0,0,0,6.5,0,0,0,0,4.8,45.7,0,1.6,1.6,2.4,14.1,16.5,0.716,0,0,0,0,0,0.189,0,0,0,0,0,0.077,3.258,0,0,0,0,0.082,0.029,0,0,0,0,0.393,0,0,0,0,4.744,15.1,0,15.1,0,0,0,0,0,4,0,0,0,0,1.6,68.7,0,1.7,1.7,0.6,8.3,8.9,3.196879666,0.049075556,0.709971038,0.292275814,0.036376194,3.829954834,1.76E-12,0.3948808,0.083305752,396.7240957,386.7394198,5.0455465,22.49435,19.1646,5.2386394,0.709971038,0.075713695,STLA,STLA,0,2048,0.38725
NLA06608-0079,PROB_Lake,1,7/12/07,YES,-107.2317809,39.98585506,-948438.5328,334718.751,-107.23093,39.98689,,CO,Colorado,GARFIELD,Region_8,Trappers Lake,Trappers Lake,>100,52.55819801,5255.819801,52.55819801,NO,21,Southern Rockies,II,Western Forested Mountains,II,NATURAL,130.9081557,04:>100-500 ha,1.309081557,6.588221013,1.624350983,47.8,47.8,2934,14,14050005,1.41E+13,6.2,4,97,0.278,837.3,1.8,84,2.35,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,2.43,243,0,1.236,0,0,0,0,0,0,0,0.047,1.012,0,0,0,0.05,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,2.43,50.9,0,50.9,0,0,0,0,0,0,1.9,41.6,0,43.5,0,2.1,0,0,0,3.5,0,3.5,1.755,0,0,0,0,0,2.66,0,1.289,21.883,0.113,0,0.005,21.119,0,0,0,0,0,2.822,0,0,0,0,0.913,0,0,0,0,52.559,3.3,0,3.3,0,0,0,0,0,5.1,2.5,41.6,0.2,44.3,0,40.2,0,0,0,5.4,1.7,7.1,40.1489103,0.050327048,0.014224751,0.042991436,0.002135448,0.032298616,2.56E-14,3.508056,0.066746131,1163.138,919.8514816,0.12647659,0.4628,103.8584,32.04928,0.014224751,0.001422475,STLA,STLA,0,675,0.0688
NLA06608-1295,PROB_Lake,1,7/12/07,,-107.2214132,33.15857155,-1037616.986,-424461.6435,-107.22215,33.15874,,NM,New Mexico,SIERRA,Region_6,Mims Lake,Mims Lake,"(10,20]",8.601304985,860.1304985,8.601304985,YES,24,Chihuahuan Deserts,III,Xeric West,III,MAN-MADE,11.19860906,02:>10-50 ha,0.111986091,4.029969754,3.397150699,1.2,1.2,1296.36,13,13030101,1.30E+13,10.2,138,740,55.9,3464.3,3.69,1697,26.08,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,0.001798644,0.814,81.4,0,0.517,0,0.042,0.039,0.016,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0.008,0.018,0,0,0,0,0,0,0,0,0,0.814,63.5,0,63.5,5.2,4.8,2,0,12,0,0,0,0,0,21.4,0,0,1,1,2.2,0,2.2,0.672,0,0.813,1.383,0.077,0.003,0,0,0,0,0,0,5.503,0,0,0,0,0,0.104,0.036,0,0,0,0,0.012,0,0,0,0,8.603,7.8,0,7.8,9.5,16.1,0.9,0,26.5,0,0,0,0,0,64,0,0,1.2,1.2,0.4,0.1,0.5,76.80690467,0.35986342,2.789420142,5.634043779,0.213882488,3.145303099,3.60E-12,33.91398,3.942887523,99.37710447,99.37710447,14.216424,54.59012,29.3189,11.5373955,2.789420142,0.124109868,ST,ST,1,43,3.000042
NLA06608-1630,PROB_Lake,1,7/12/07,,-100.125119,28.57555508,-404313.3902,-986443.7864,-100.12622,28.58468,,TX,Texas,MAVERICK,Region_6,,Farias Lake,>100,93.95495763,9395.495763,93.95495763,NO,31,Southern Texas Plains,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,240.9244102,04:>100-500 ha,2.409244102,9.205826705,1.673082902,5.2,5.2,216.79,12,12110104,1.21E+13,9.4,57,806,9.33,1783.9,8.13,730,21.44,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,4.032,403.2,0,0.048,0,0.08,0,0,0,0,0,0.059,0,0,0,2.608,0.266,0,0,0,0,0,0.444,0,0,0,0,0.527,0,0,0,0,4.032,1.2,0,1.2,2,0,0,0,2,0,1.5,0,0,1.5,64.7,6.6,0,0,0,11,13.1,24.1,0.052,0,2.231,0.611,0.005,0,0,0,0.041,0,0,0,72.744,17.291,0,0,0,0,0,0.402,0,0,0,0,0.574,0,0,0,0,93.951,0.1,0,0.1,2.4,0.7,0,0,3.1,0,0,0,0,0,77.4,18.4,0,0,0,0.4,0.6,1,38.99769125,0.038210436,0.535129933,0.463284703,0.034402543,3.438089915,1.84E-12,95.36068,1.014961701,696.2093509,577.4722641,43.146175,227.81666,6.61769,1.9010757,0.535129933,0.051491819,STLA,STLA,1,1151,0.638307
NLA06608-0707,PROB_Lake,1,7/12/07,,-99.41665043,46.89269882,-261428.2501,1053728.481,-99.41194,46.89341,,ND,North Dakota,STUTSMAN,Region_8,,,"(10,20]",51.17623025,5117.623025,51.17623025,NO,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,43.218989,02:>10-50 ha,0.43218989,6.512751,2.794616639,3.5,3.5,527.1,10,10130103,1.01E+13,9.3,127,4034,3,12751.6,37.93,9379,5.6,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,0.001798644,1.353,135.3,0,0.611,0,0.04,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0.017,0.089,0,0,0,0,0,0.027,0,0,0,0,1.353,45.2,0,45.2,3,0,0,0,3,0,0,0,0,0,0,42.1,1.3,6.6,7.9,0,2,2,5.037,0,2.904,0.725,0.404,0.01,0.079,0,0.023,0,0,0,0,22.624,0,0,0,3.42,13.873,0.023,0,0,0,0,2.088,0,0,0,0,51.21,9.8,0,9.8,5.7,1.4,0.8,0,7.9,0.2,0,0,0,0,0,44.2,6.7,27.1,33.8,0,4.1,4.1,118.411447,0.150691887,0.126843658,1.706521739,0.095561594,0.656833515,1.07E-12,11.58886,1.741195506,312.2826747,312.2826747,12.1719475,67.55207,13.91596,3.9736547,0.126843658,0.016224189,SE,HWSE,1,6830,1.000033
NLA06608-1208,PROB_Lake,1,7/12/07,YES,-97.16290101,38.75947482,-100106.4823,141777.3027,-97.165,38.76066,,KS,Kansas,DICKINSON,Region_7,,,"(10,20]",7.855245805,785.5245805,7.855245805,NO,27,Central Great Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,12.85293825,02:>10-50 ha,0.128529382,1.629498586,1.282176597,3.2,3.2,372.63,10,10260008,1.03E+13,9.4,182,1340,23.1,2554.5,6.87,923,138.82,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,0.521,52.1,0,0.126,0,0.003,0.006,0,0,0,0,0.017,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521,24.2,0,24.2,0.6,1.2,0,0,1.8,0,3.3,0,0,3.3,0,70.8,0,0,0,0,0,0,0.149,0,0.251,0.018,0,0,0,0,0.347,0.005,0,0,0.007,3.234,0,0,0,0.103,3.739,0.005,0,0,0,0,0,0,0,0,0,7.858,1.9,0,1.9,3.2,0.2,0,0,3.4,0,4.4,0.1,0,4.5,0.1,41.2,1.3,47.6,48.9,0.1,0,0.1,61.11634283,0.126780239,0.529137529,0.284713613,0.035953385,1.061144528,2.73E-12,NA,NA,122.7688315,122.7688315,14.086721,57.21894,13.27835,4.3062468,0.529137529,0.027972028,ST,ST,1,612,1.034589
NLA06608-1224,PROB_Lake,1,7/12/07,,-96.10401913,33.16058732,-9640.537155,-485562.9475,-96.10297,33.15907,,TX,Texas,HUNT,Region_6,Greenville Reservoir Number Five,Greenville Reservoir #5,"(50,100]",1.390126518,139.0126518,1.390126518,YES,32,Texas Blackland Prairies,V,South Central Cultivated Great Plains,V,MAN-MADE,69.98056695,03:>50-100 ha,0.69980567,3.352558138,1.130531474,5.5,5.5,155.46,12,12010001,1.20E+13,9.4,23,616,5.85,1691.1,5.63,206,NA,1:LEAST DISTURBED,1:LEAST DISTURBED,9:NO DATA,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.407,140.7,0,0.739,0,0.005,0.017,0,0,0,0,0.351,0,0,0,0,0.227,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,1.407,52.5,0,52.5,0.4,1.2,0,0,1.6,0,24.9,0,0,24.9,0,16.1,4.8,0,4.8,0,0,0,0.725,0,0.219,0.188,0.009,0,0,0,0.035,0,0,0,0,0.165,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,1.396,52.2,0,52.2,15.8,13.5,0.6,0,29.9,0,2.5,0,0,2.5,0,11.9,4,0,4,0,0,0,1.986446493,0.047906987,0.51594533,5.24516441,0.285783366,0.178337177,2.27E-13,4.3697625,3.143423988,631.3701414,441.1690913,2.4624147,8.53659,15.5815,3.2433767,0.51594533,0.027334852,SE,HWSE,1,1055,0.600034
NLA06608-0871,PROB_Lake,1,7/12/07,,-96.09372175,45.39184932,-7336.965276,882521.7613,-96.09129,45.39281,,MN,Minnesota,SWIFT,Region_5,Dry Wood Lake,South Dry Wood Lake,>100,7.568391488,756.8391488,7.568391488,NO,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,91.94809388,03:>50-100 ha,0.919480939,4.300437957,1.265133597,1.2,1.2,327.56,7,7020002,7.02E+12,9.2,407,5378,68.5,3825,18.51,849,256.32,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.677,167.7,0,1.01,0,0.103,0,0,0,0,0,0.08,0,0,0,0,0.001,0,0,0,0,0.391,0,0,0,0,0,0.092,0,0,0,0,1.677,60.2,0,60.2,6.1,0,0,0,6.1,0,4.8,0,0,4.8,0,0.1,0,23.3,23.3,0,5.5,5.5,1.023,0,0.421,0.003,0,0,0,0,0.114,0,0,0,0,0.007,0,0,0,0,5.808,0,0,0,0,0,0.192,0,0,0,0,7.568,13.5,0,13.5,5.6,0,0,0,5.6,0,1.5,0,0,1.5,0,0.1,0,76.7,76.7,0,2.5,2.5,8.23115648,0.046770278,0.436345967,0.26703791,0.045441565,1.812938906,1.98E-12,164.96086,1.387563131,277.4516146,269.1810058,187.46344,809.0813,10.1751,2.1672888,0.436345967,0.124392614,HW,HWSE,1,291,3.000005
NLA06608-R736,REF_Lake,1,7/12/07,,-95.815771,38.494153,15917.09727,111441.2702,-95.71258,38.50736,,KS,Kansas,OSAGE,Region_7,,Melvern Lake,,866.5911876,86659.11876,866.5911876,NO,40,Central Irregular Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,2837.654421,05:>500-5000 ha,28.37654421,132.5364903,7.01860468,20.1,20.1,316.15,10,10290101,1.03E+13,9.2,26,389,3.5,1954.2,3.79,243,11.04,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,49.716,4971.6,0,27.805,0,1.232,0.329,0.026,0,0.166,0,4.157,0,0.005,0,0.113,10.222,0,0,0,1.55,1.807,1.03,0,0,0,0,1.274,0,0,0,0,49.716,55.9,0,55.9,2.5,0.7,0.1,0,3.3,0.3,8.4,0,0,8.4,0.2,20.6,3.1,3.6,6.7,2.1,2.6,4.7,32.279,0,27.677,5.991,1.329,0.008,0.523,0,37.598,0.006,0.212,0,0.597,546.512,0,0,0,115.544,90.687,5.783,0,0,0,0,1.865,0,0,0,0,866.611,3.7,0,3.7,3.2,0.7,0.2,0,4.1,0.1,4.3,0,0,4.3,0.1,63.1,13.3,10.5,23.8,0.7,0.2,0.9,30.53899662,0.046706353,1.122132672,NA,NA,30.47387553,1.61E-12,NA,NA,390.8677249,364.0216117,NA,NA,35.01971,4.8906484,1.122132672,0.068577424,STLA,STLA,0,1814,0.148098
NLA06608-0008,PROB_Lake,1,7/12/07,YES,-93.59040488,41.29211104,200215.4542,427447.7852,-93.59579,41.2928,,IA,Iowa,WARREN,Region_7,Lake Aquabi,Lake Ahquabi,"(20,50]",13.32280668,1332.280668,13.32280668,NO,47,Western Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,48.7370362,02:>10-50 ha,0.487370362,5.71138051,2.307844831,5.5,5.5,261.56,7,7100008,7.10E+12,9.2,66,801,8.62,1933.6,7.6,238,30.24,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.525,152.5,0,0.521,0,0.084,0.011,0,0,0,0,0.767,0.002,0,0,0,0.038,0,0,0,0.009,0.02,0.068,0,0,0,0,0.005,0,0,0,0,1.525,34.2,0,34.2,5.5,0.7,0,0,6.2,0,50.3,0.1,0,50.4,0,2.5,0.6,1.3,1.9,4.5,0.3,4.8,1.024,0,0.812,0.146,0,0,0.01,0,4.469,0.08,0.066,0,0.024,0.996,0,0,0,2.651,2.922,0.094,0,0,0,0,0.03,0,0,0,0,13.324,7.7,0,7.7,6.1,1.1,0,0,7.2,0.1,33.5,0.6,0.5,34.6,0.2,7.5,19.9,21.9,41.8,0.7,0.2,0.9,27.33610354,0.117187686,1.027683997,0.959030878,0.076497396,5.182330817,3.89E-12,24.89466,1.868574868,202.9751446,190.6637963,6.480771,20.1427,35.60829,8.30933,1.027683997,0.099257259,ST,ST,0,151,0.589218
NLA06608-0444,PROB_Lake,1,7/12/07,,-89.91161609,34.16578918,556699.235,-355440.7441,-89.90704,34.16849,Not in NHD Lake Polygon,MS,Mississippi,PANOLA,Region_4,,Enid View Drive Lake,"(4,10]",0.662718791,66.27187911,0.662718791,NO,74,Mississippi Valley Loess Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,4.398899052,01: <10 ha,0.043988991,1.119552107,1.505800309,NA,NA,92.35,8,8030203,8.03E+12,8.3,42,383,15.5,71.8,3.72,26,10.27,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,0.353,35.3,0,0.05,0,0.071,0.01,0,0,0,0,0.065,0.044,0.007,0,0.059,0,0,0,0,0.015,0.006,0.021,0,0,0,0,0.005,0,0,0,0,0.353,14.2,0,14.2,20.1,2.8,0,0,22.9,0,18.4,12.5,2,32.9,16.7,0,4.2,1.7,5.9,5.9,1.4,7.3,0.082,0,0.263,0.062,0,0,0,0,0.086,0.008,0.011,0,0.092,0,0,0,0,0.029,0.015,0.016,0,0,0,0,0,0,0,0,0,0.664,12.4,0,12.4,39.7,9.4,0,0,49.1,0,13,1.2,1.7,15.9,13.9,0,4.4,2.3,6.7,2.4,0,2.4,15.06556034,0.254507342,2.753731343,5.818333333,0.438333333,3.120742422,8.67E-12,7.3503912,11.09127029,56.99668551,56.9966855,5.125697,23.2194,13.51773,6.10645,2.753731343,0.246268657,ST,ST,1,0,NA
NLA06608-0980,PROB_Lake,1,7/12/07,,-88.68475272,37.39564741,640870.2703,12983.30292,-88.68845,37.39122,,IL,Illinois,POPE,Region_5,,Sugar Creek Lake,"(20,50]",33.17846531,3317.846531,33.17846531,NO,72,Interior River Valleys and Hills,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,27.94800931,02:>10-50 ha,0.279480093,3.275111921,1.747615042,2.1,2.1,111.25,5,5140203,5.14E+12,8.3,176,923,11.5,875.5,7.54,120,84,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,0.967,96.7,0,0.193,0,0,0,0,0,0,0,0.619,0.077,0,0,0,0,0,0,0,0.036,0,0.012,0,0,0,0,0.03,0,0,0,0,0.967,20,0,20,0,0,0,0,0,0,64,8,0,72,0,0,3.7,0,3.7,1.2,3.1,4.3,0.565,0,1.608,0.113,0.014,0,0,0,16.319,2.849,0.133,0,0,0.141,0,0,0,10.465,0.87,0.05,0,0,0,0,0.059,0,0,0,0,33.186,1.7,0,1.7,4.8,0.3,0,0,5.1,0,49.2,8.6,0.4,58.2,0,0.4,31.5,2.6,34.1,0.2,0.2,0.4,118.7149501,0.117185875,0,0.58720473,0.059393052,NA,NA,42.2266,1.272710851,NA,531.0380172,104.279915,563.6199,28.33063,10.689037,0,0,STLA,STLA,1,5,1.500034
NLA06608-0484,PROB_Lake,1,7/12/07,,-88.48981792,36.3106781,667509.4016,-106864.9286,-88.489989,36.309309,,TN,Tennessee,HENRY,Region_4,,Barrs Chapel Lake,"(20,50]",20.74542773,2074.542773,20.74542773,NO,65,Southeastern Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,37.31498489,02:>10-50 ha,0.373149849,3.79600164,1.752991557,1.2,1.2,125.56,8,8010203,8.01E+12,8.3,190,1519,19.4,607,5.41,79,126.4,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.12,112,0,0.274,0,0,0,0,0,0,0,0.579,0.026,0,0,0.017,0.014,0,0,0,0.056,0.038,0.111,0,0,0,0,0.005,0,0,0,0,1.12,24.5,0,24.5,0,0,0,0,0,0,51.7,2.3,0,54,1.5,1.3,5,3.4,8.4,9.9,0.4,10.3,0.293,0,0.565,0,0,0,0,0,8.478,0.186,0,0,0.079,0.406,0,0,0,4.586,5.896,0.251,0,0,0,0,0.008,0,0,0,0,20.748,1.4,0,1.4,2.7,0,0,0,2.7,0,40.9,0.9,0,41.8,0.4,2,22.1,28.4,50.5,1.2,0,1.2,55.59543382,0.101728613,0,0.253873896,0.03954732,NA,NA,16.96797,0.817913694,NA,788.8062023,579.3852,3768.56005,18.52124,6.5763054,0,0,ST,ST,1,4,3.000013
NLA06608-0036,PROB_Lake,1,7/12/07,YES,-88.32737922,37.47735404,671373.9172,24578.90193,-88.328333,37.477222,,IL,Illinois,HARDIN,Region_5,Whoople Cat Lake,Whoople Cat Lake,"(10,20]",1.224605698,122.4605698,1.224605698,NO,72,Interior River Valleys and Hills,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,12.02760537,02:>10-50 ha,0.120276054,1.782974479,1.450275832,5,5,113.39,5,5140203,5.14E+12,8.3,8,178,1.57,1147.2,4.07,134,5.07,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,0.512,51.2,0,0.067,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512,13.1,0,13.1,0,0,0,0,0,0,86.9,0,0,86.9,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,1.078,0.065,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.224,5.6,0,5.6,0,0,0,0,0,0,88,5.3,1.1,94.4,0,0,0,0,0,0,0,0,10.18162519,0.148240188,0,0.023636364,0.006909091,NA,NA,1.418129,1.158029102,NA,433.5296032,204.5007,685.0648,20.258175,7.559391,0,0,ST,ST,0,174,0.662764
NLA06608-1733,PROB_Lake,1,7/12/07,,-81.8367232,28.82529643,1379377.579,-864613.4424,-81.847215,28.8456,,FL,Florida,MARION,Region_4,Lake Griffin,Lake Griffin,>100,2266.610923,226661.0923,2266.610923,YES,75,Southern Coastal Plain,XII,Southeastern Coastal Plain,CPL,NATURAL,6348.878515,06:>5000 ha,63.48878515,138.9840075,4.920524397,2.2,2.2,17.7,3,3080102,3.08E+12,8.5,45,3516,20.9,2305.4,17.81,350,167.04,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,85.571,8557.1,0,39.598,0,1.383,0.95,0.356,0.099,0,0,0.024,4.859,0.023,0,0.933,0.842,0,0,0,2.624,0.035,19.465,0,0,0,0,14.38,0,0,0,0,85.571,46.3,0,46.3,1.6,1.1,0.4,0.1,3.2,0,0,5.7,0,5.7,1.1,1,3.1,0,3.1,22.7,16.8,39.5,405.086,0,210.443,91.862,31.712,7.948,14.487,0,0.194,151.182,0.063,0,36.275,70.485,0,0,0,350.463,279.051,467.339,0,0,0,0,150.065,0,0,0,0,2266.655,17.9,0,17.9,9.3,4.1,1.4,0.4,15.2,0.6,0,6.7,0,6.7,1.6,3.1,15.5,12.3,27.8,20.6,6.6,27.2,35.70096542,0.021891112,5.638948186,3.077340255,0.148305775,38.09965918,4.01E-12,6064.4475,2.675557329,353.2296887,301.4465327,6.2185707,38.394,17.275016,3.1514163,5.638948186,0.20861634,STLA,STLA,1,19,1.764706
