SITE_ID,VISIT_NO,lon_dd,lat_dd,trophic_cat,tp_ugl,chla_ugl,mic_ppb,tn_ugl,P_net_kgha,P_crop_kgha,P_fert_kgha,P_manu_kgha,prec_tot_ann_mm,prec_tot_mon_1_mm,prec_tot_mon_2_mm,prec_tot_mon_3_mm,prec_tot_mon_4_mm,prec_tot_mon_5_mm,prec_tot_mon_6_mm,prec_tot_mon_7_mm,prec_tot_mon_8_mm,prec_tot_mon_9_mm,prec_tot_mon_10_mm,prec_tot_mon_11_mm,prec_tot_mon_12_mm,chla_log,mic_log,P_crop_log,P_fert_log,P_manu_log,tn_log,tp_log,prec_tot_ann_log,DATE_COL,MONTH_COL,prec_tot_mon_s_0_mm,prec_tot_mon_s_1_mm,prec_tot_mon_s_2_mm,prec_tot_mon_s_3_mm,prec_tot_mon_s_4_mm,cybv_um3ml,cybv_log,totbv_u3ml,cypro,temp_surf,temp_mean,temp_bot,strat_thermod_m,strat_buoy_freq_s2,strat_thermod_log,strat_surfminbot
NLA12_AR-101,1,-92.27022,34.53654,MESOTROPHIC,88.0,52.4,0.01993,920.0,-0.0973367547321,0.390346874263,0.210016917087,0.0829932116925,1172.29308172,84.2597536431,101.027237338,202.061790321,63.1448501592,30.929471337,36.9952918612,63.1302157689,204.740713744,98.9530908506,82.9728933218,49.7819136018,154.295859779,3.95890659133,-3.91552914476,-0.940719513971,-1.56056719395,-2.48899646137,6.82437367004,4.47733681448,7.06671700861,2012-07-23,7,63.1302157689,36.9952918612,30.929471337,63.1448501592,202.061790321,1067828.6226,13.8811378199,27102474.9833,0.0393996719214,31.32,31.32,,,,,
NLA12_AR-101,2,-92.26932,34.53511,EUTROPHIC,80.0,26.76,0.08067,791.0,-0.0973367547321,0.390346874263,0.210016917087,0.0829932116925,1172.29308172,84.2597536431,101.027237338,202.061790321,63.1448501592,30.929471337,36.9952918612,63.1302157689,204.740713744,98.9530908506,82.9728933218,49.7819136018,154.295859779,3.28690823526,-2.51738852003,-0.940719513971,-1.56056719395,-2.48899646137,6.67329796777,4.38202663467,7.06671700861,2012-08-17,8,204.740713744,63.1302157689,36.9952918612,30.929471337,63.1448501592,390278.3729,12.8746155402,2922432.6369,0.133545720771,28.4,28.4,,,,,
NLA12_AR-102,1,-90.96293,35.58361,EUTROPHIC,151.0,74.0,1.00566,1536.0,-6.17282894276,13.4871099002,7.3122746676,0.00200533506918,959.986381829,78.7801517844,77.2225573063,133.846888095,49.2137315869,70.7135944963,32.681684494,42.3549932241,141.334149122,71.6863636971,87.1363336742,52.5693266392,122.446607709,4.3040650932,0.00564404238509,2.60173440711,1.9895543974,-6.21194411539,7.33693691371,5.01727983681,6.86691909877,2012-08-21,8,141.334149122,42.3549932241,32.681684494,70.7135944963,49.2137315869,442252.1047,12.9996353711,1271812.8023,0.347733647515,26.35,26.35,,,,,
NLA12_AR-103,1,-93.09425,34.4348,MESOTROPHIC,15.0,4.944,0.238,311.0,14.8072647601,4.12147957794,2.03494997967,16.8937944331,1088.09442917,102.676747716,75.8924745274,188.36802119,94.04326598,22.44155498,44.1606002831,68.5788371877,136.981664176,135.618887439,69.6554979989,41.4563518237,108.220525873,1.59817472016,-1.43548460531,1.41621221975,0.710471238578,2.82694636119,5.73979291218,2.7080502011,6.99218321517,2012-08-24,8,136.981664176,68.5788371877,44.1606002831,22.44155498,94.04326598,381902.7625,12.8529213068,3525812.3197,0.108316248249,27.9,27.9,,,,,
NLA12_AR-104,1,-93.63668,35.56169,MESOTROPHIC,30.0,6.624,0.04275,175.0,25.8637381455,4.16610462402,0.516032406745,29.5138092944,951.313115499,108.522045159,56.8576585959,198.061285471,72.849416623,12.3884448925,27.23383057,59.966553715,116.856356537,91.5093815265,94.4677325902,25.3195394851,87.2808703339,1.89069941708,-3.1523860836,1.42698145631,-0.661585711704,3.38485826549,5.16478597392,3.40119738166,6.85784325704,2012-08-09,8,116.856356537,59.966553715,27.23383057,12.3884448925,72.849416623,120058.3682,11.6957333052,924658.3395,0.129840788831,29.5,29.5,,,,,
NLA12_AR-105,1,-92.66022,33.0754,MESOTROPHIC,34.0,6.496,0.0,476.0,0.0,0.0,0.0,0.0,1276.96995354,73.3751179874,103.695703924,227.093105465,123.823817194,9.25263595581,39.4529907703,101.744657338,176.813820481,172.45810765,55.6188671589,38.9283386469,154.712790966,1.87118660286,-inf,-inf,-inf,-inf,6.16541785423,3.52636052462,7.15224532681,2012-07-24,7,101.744657338,39.4529907703,9.25263595581,123.823817194,227.093105465,43242.5658,10.6745806086,272441.2474,0.158722536373,32.2,32.2,,,,,
NLA12_AR-105,2,-92.66055,33.07517,EUTROPHIC,39.0,12.42666667,0.0929,599.0,0.0,0.0,0.0,0.0,1276.96995354,73.3751179874,103.695703924,227.093105465,123.823817194,9.25263595581,39.4529907703,101.744657338,176.813820481,172.45810765,55.6188671589,38.9283386469,154.712790966,2.51984470142,-2.37623163316,-inf,-inf,-inf,6.39526159812,3.66356164613,7.15224532681,2012-08-16,8,176.813820481,101.744657338,39.4529907703,9.25263595581,123.823817194,224387.6017,12.3211302002,5504882.5665,0.0407615601222,29.9,29.9,,,,,
NLA12_AR-106,1,-91.14627,36.07315,EUTROPHIC,107.0,59.2,0.07863,1385.0,-26.6211234359,60.7688696138,30.7506081513,3.39714087133,974.311544617,78.5401751988,78.4241826075,143.932683945,54.11660022,52.5317412056,46.2389721936,66.5145648161,105.313689814,85.5793725291,87.8271318644,57.048304063,118.244126159,4.08092154189,-2.54300197298,4.10707764492,3.42590977134,1.22293415765,7.23345541862,4.67282883446,6.8817311135,2012-08-20,8,105.313689814,66.5145648161,46.2389721936,52.5317412056,54.11660022,2539872.4043,14.7476244032,4656232.7446,0.545477974065,27.85,27.85,,,,,
NLA12_AR-109,1,-94.06009,33.81787,EUTROPHIC,39.0,10.32,0.05948,656.0,49.6081309771,6.1619607417,1.14780116946,54.6222929597,940.180723488,92.8965964019,80.1464183629,159.041182488,108.357472926,40.2563729286,33.6927427649,88.3004080057,63.8985747099,72.8832588792,43.2075330019,44.2404549718,113.259708047,2.33408376005,-2.82211515739,1.81839502912,0.137848085562,4.00044209539,6.48616078894,3.66356164613,6.84607211581,2012-08-08,8,63.8985747099,88.3004080057,33.6927427649,40.2563729286,108.357472926,150951.991,11.9247171248,1375967.7856,0.109706050229,32.15,32.15,,,,,
NLA12_AR-111,1,-92.50045,34.60031,EUTROPHIC,121.0,23.89333333,0.09345,744.0,-0.0,0.0,0.0,0.0,1249.44751716,84.2999425828,96.8697350025,204.839055061,62.1005319357,25.2436345816,63.3575155139,74.7468703389,212.998527855,94.2956492305,98.0283596516,65.6856637299,166.982031673,3.17359947986,-2.37032874508,-inf,-inf,-inf,6.61204103483,4.7957905456,7.13045674632,2012-08-22,8,212.998527855,74.7468703389,63.3575155139,25.2436345816,62.1005319357,1925.4859,7.56293363045,6209281.0821,0.000310098041068,25.55,25.55,,,,,
NLA12_AZ-101,1,-111.51788,33.56291,MESOTROPHIC,40.0,3.228,0.06208,321.0,-0.00331565220398,0.0751428200235,0.0175592236473,0.0542679426304,394.046569526,13.4650774425,16.0050399092,29.4528248015,11.7684698121,1.09228223337,1.08812532411,99.3446972514,79.6555909192,28.2009089664,7.31299684701,22.1669185419,84.4936374773,1.17186275041,-2.77933140311,-2.58836470928,-4.04217590318,-2.91382160151,5.77144112313,3.68887945411,5.97646909908,2012-05-08,5,1.09228223337,11.7684698121,29.4528248015,16.0050399092,13.4650774425,16682.5559,9.72211889559,887175.3401,0.0188041248961,21.515,18.3119230769,16.3,3.69897487249,0.00305837765074,1.30805571977,5.215
NLA12_AZ-101,2,-111.5173,33.56372,EUTROPHIC,51.0,6.773333333,0.07591,355.0,-0.00331565220398,0.0751428200235,0.0175592236473,0.0542679426304,394.046569526,13.4650774425,16.0050399092,29.4528248015,11.7684698121,1.09228223337,1.08812532411,99.3446972514,79.6555909192,28.2009089664,7.31299684701,22.1669185419,84.4936374773,1.91299333399,-2.57820685095,-2.58836470928,-4.04217590318,-2.91382160151,5.87211778948,3.93182563272,5.97646909908,2012-06-14,6,1.08812532411,1.09228223337,11.7684698121,29.4528248015,16.0050399092,785485.5077,13.5740572867,6315842.3149,0.124367498195,23.25,28.4346153846,19.6,20.6666833706,1.53108177757,3.02852290463,3.65
NLA12_AZ-102,1,-112.43686,34.60509,EUTROPHIC,631.0,32.3,0.21695,2045.0,0.0,0.0,0.0,0.0,388.714652754,3.57155315382,8.62250318554,39.1050227307,18.9277305652,0.0,0.0,134.088066901,91.1511442889,36.2614340614,5.46028516515,6.10117973686,45.4257329654,3.47506723023,-1.52808836674,-inf,-inf,-inf,7.62315306848,6.44730586254,5.96284553397,2012-09-19,9,36.2614340614,91.1511442889,134.088066901,0.0,0.0,37159.4896,10.5229744576,106108.1137,0.350204035339,21.05,20.6,20.0,0.25,0.00314563776307,-1.38629436112,1.05
NLA12_AZ-103,1,-111.40371,35.02087,EUTROPHIC,259.0,15.34,0.11561,1055.0,0.0,0.0,0.0,0.0,476.494865287,11.8942871802,25.1410789501,48.7382696296,28.9483480123,0.0,0.0,128.173213364,83.5843004413,27.9523411439,20.6041390803,21.7577290902,79.7011583946,2.73046379594,-2.15753282129,-inf,-inf,-inf,6.96129604591,5.5568280617,6.16645694714,2012-08-09,8,83.5843004413,128.173213364,0.0,0.0,28.9483480123,1006177.8011,13.8216693547,1632593.2552,0.616306479213,21.23,20.47,19.4,2.11528186569,0.00204283492762,0.749188073448,1.83
NLA12_AZ-106,1,-114.71475,33.3894,EUTROPHIC,37.0,5.244,0.07911,571.0,-29.6304907837,156.135470112,119.310196928,7.19478136424,98.2153970897,0.289806962013,3.16446042061,4.5690112114,2.83655717969,0.0,0.0,39.0540430546,16.002083838,15.958357513,1.73260384798,0.0,14.6084730625,1.6570845659,-2.53691598995,5.05072402857,4.78172679844,1.9733559527,6.34738920966,3.61091791264,4.58716299624,2012-08-23,8,16.002083838,39.0540430546,0.0,0.0,2.83655717969,1488062.6801,14.2129856172,8986037.4504,0.165597204364,31.6,31.2428571429,30.8,1.99193106475,0.000929304580584,0.689104552514,0.8
NLA12_AZ-107,1,-109.36523,34.36151,EUTROPHIC,234.0,10.42,0.066,628.0,-0.150692981799,0.224055403387,0.0423585122774,0.0310038971373,270.352506113,9.9626999632,9.10675065466,12.7455425044,4.94347306986,0.964100367831,3.42667007116,84.0659181618,70.462270004,25.566156192,3.85903313499,14.1831023175,31.0667896718,2.34372703633,-2.71810053696,-1.49586192116,-3.1615858798,-3.47364236829,6.44254016647,5.45532111536,5.59972668567,2012-07-26,7,84.0659181618,3.42667007116,0.964100367831,4.94347306986,12.7455425044,521775.2649,13.1649922471,2157611.2301,0.241830065408,22.6,22.3555555556,22.2,0.25,0.000913137771945,-1.38629436112,0.4
NLA12_AZ-118,1,-111.88047,33.382668,EUTROPHIC,38.0,1.3,0.07181,483.0,-0.0,0.0,0.0,0.0,150.828444064,0.0,0.874566912651,7.27425527573,2.66167259216,6.21948337555,0.0,36.6821717322,38.3599701524,26.8613105416,0.858181506395,1.9348090291,29.1020229459,0.262364264467,-2.63373153686,-inf,-inf,-inf,6.18001665365,3.63758615973,5.0161430589,2012-05-09,5,6.21948337555,2.66167259216,7.27425527573,0.874566912651,0.0,,,,,24.8,24.8,,,,,
NLA12_AZ-123,1,-114.50731,33.02562,EUTROPHIC,392.0,253.8,0.24073,4094.0,-0.0320712347627,0.844461161748,0.796568362002,0.0158215449334,81.9016265169,0.0,3.35944147125,3.25432239781,3.27969453254,0.0,0.0,22.2892767644,20.3159005297,14.6367738808,0.915138863059,0.0,13.8510780773,5.53654655528,-1.42407930548,-0.169056533433,-0.227442325315,-4.14638266443,8.31727776622,5.97126183979,4.40551885045,2012-08-24,8,20.3159005297,22.2892767644,0.0,0.0,3.27969453254,6742094.4075,15.7238811776,32355795.3737,0.208373626104,31.0,29.94,29.9,0.25,0.00898634201508,-1.38629436112,1.1
NLA12_AZ-127,1,-112.15996,35.28465,MESOTROPHIC,147.0,13.056,0.12046,554.0,0.0,0.0,0.0,0.0,440.495459531,9.09237658558,25.0290279574,52.2764989359,29.0129914722,0.0169361868934,0.0477288250632,99.4859531428,94.735149332,25.787442935,20.3491274577,18.9023934162,65.7598332847,2.56924779822,-2.11643753137,-inf,-inf,-inf,6.31716468675,4.99043258678,6.08790013779,2012-05-23,5,0.0169361868934,29.0129914722,52.2764989359,25.0290279574,9.09237658558,328.2793,5.79386477043,774990.0816,0.000423591614647,16.3,15.8166666667,14.0,3.5,0.00279868799065,1.2527629685,2.3
NLA12_AZ-130,1,-111.61886,33.84633,OLIGOTROPHIC,57.0,8.586666667,0.09192,278.0,1.34715182171,0.191003392382,0.141379089874,1.39677616672,381.545699214,6.85927219249,15.1609474932,39.239786515,19.6751721747,0.0301677026665,0.127769892965,104.941567943,82.0013030537,28.2715836549,13.2659784266,10.4699097901,61.5022403745,2.15021061261,-2.38683664544,-1.65546408993,-1.95631041571,0.334166843189,5.62762111369,4.04305126783,5.94423063179,2012-05-10,5,0.0301677026665,19.6751721747,39.239786515,15.1609474932,6.85927219249,914200.4208,13.7258051052,1690922.0079,0.540652032754,22.1,19.7642857143,15.3,6.49710680271,0.00648625878475,1.87135697054,6.8
NLA12_AZ-130,2,-111.618,33.84509,MESOTROPHIC,67.0,5.8,0.08695,319.0,1.34715182171,0.191003392382,0.141379089874,1.39677616672,381.545699214,6.85927219249,15.1609474932,39.239786515,19.6751721747,0.0301677026665,0.127769892965,104.941567943,82.0013030537,28.2715836549,13.2659784266,10.4699097901,61.5022403745,1.75785791755,-2.44242203818,-1.65546408993,-1.95631041571,0.334166843189,5.76519110278,4.20469261939,5.94423063179,2012-08-22,8,82.0013030537,104.941567943,0.127769892965,0.0301677026665,19.6751721747,265615.2414,12.4898040797,866430.3873,0.306562702894,29.05,24.5875,15.8,20.639284719,0.00705450490196,3.02719628493,13.25
NLA12_AZ-140,1,-109.86243,32.80637,EUTROPHIC,38.0,6.453333333,0.0,571.0,0.308389004607,2.47781263794,2.7044770103,0.0817244398067,303.908869011,17.2450123174,18.0850721768,8.32746602808,5.41454151273,2.74911979267,3.16056181703,69.6892729614,68.5884378467,47.4859660183,1.6990322641,15.4461961814,46.0181900944,1.86459679313,-inf,0.907376170154,0.994908551758,-2.50440218101,6.34738920966,3.63758615973,5.71672788348,2012-07-19,7,69.6892729614,3.16056181703,2.74911979267,5.41454151273,8.32746602808,10937104.9858,16.2076716934,13214429.6424,0.82766379494,26.55,26.4166666667,26.0,3.4,0.00131681890173,1.22377543162,0.55
NLA12_AZ-143,1,-112.01333,35.11739,EUTROPHIC,75.0,13.51111111,0.07075,1201.0,0.0,0.0,0.0,0.0,486.577103278,14.4010000476,31.5734303704,54.8836376976,35.7304223476,0.0,0.280008102346,113.7560725,87.5415629318,32.9214216444,23.3097444181,20.8396171565,71.3401860612,2.60351239211,-2.64860274246,-inf,-inf,-inf,7.09090982208,4.31748811354,6.18739537474,2012-08-30,8,87.5415629318,113.7560725,0.280008102346,0.0,35.7304223476,264413.141,12.4852680869,6150003.2243,0.0429939841259,23.15,21.8,18.8,2.5,0.00595361958122,0.916290731874,4.35
NLA12_AZ-145,1,-109.08833,33.829909,EUTROPHIC,244.0,39.2,0.57327,1775.0,-0.0,0.0,0.0,0.0,382.41390213,19.6147388262,12.1887112159,15.3161870422,8.98303368892,2.11820814308,1.47809172149,100.382178114,92.0719622909,36.1083357987,4.87866185469,31.0607829236,58.2130105108,3.6686767468,-0.556398469061,-inf,-inf,-inf,7.48155570191,5.49716822529,5.94650353546,2012-08-14,8,92.0719622909,100.382178114,1.47809172149,2.11820814308,8.98303368892,80954.49,11.3016424239,1743460.6828,0.0464332180236,21.35,20.25,18.6,2.6,0.00380217806414,0.955511445027,2.75
NLA12_AZ-157,1,-109.44283,34.03146,HYPEREUTROPHIC,882.0,241.2,0.06884,3888.0,-0.0,0.0,0.0,0.0,303.388120383,8.85914599895,8.27983126044,11.6299716234,4.82040277123,1.20248529315,3.43772250414,103.285833627,78.2828081846,28.0472460985,7.30704638362,14.1767219603,34.0589046776,5.48562646485,-2.67597030764,-inf,-inf,-inf,8.26565016558,6.78219205601,5.71501291118,2012-08-17,8,78.2828081846,103.285833627,3.43772250414,1.20248529315,4.82040277123,102363241.4,18.4440382354,102472695.16,0.998931873901,22.8,20.2,16.7,0.701146354646,0.0168421524208,-0.35503863393,6.1
NLA12_CA-101,1,-122.750046,38.085837,MESOTROPHIC,25.3,14.0,0.74297,488.0,0.0,0.0,0.0,0.0,1339.24187227,205.347163483,56.1145471572,272.82298486,50.911333142,4.157929399,3.83028610759,0.445009449083,0.0,0.0028580735011,73.3806415208,313.273080196,358.956038882,2.63905732962,-0.29709961193,-inf,-inf,-inf,6.19031540585,3.23080439573,7.19985896588,2012-07-09,7,0.445009449083,3.83028610759,4.157929399,50.911333142,272.82298486,1016564.0592,13.8319389294,5158581.8158,0.197062699691,20.1,19.4461538462,18.9,2.74521885362,0.000606618065183,1.00986079988,1.2
NLA12_CA-101,2,-122.74985,38.08568,EUTROPHIC,36.0,14.0,0.2298,459.0,0.0,0.0,0.0,0.0,1339.24187227,205.347163483,56.1145471572,272.82298486,50.911333142,4.157929399,3.83028610759,0.445009449083,0.0,0.0028580735011,73.3806415208,313.273080196,358.956038882,2.63905732962,-1.47054591357,-inf,-inf,-inf,6.12905021006,3.58351893846,7.19985896588,2012-09-24,9,0.0028580735011,0.0,0.445009449083,3.83028610759,4.157929399,578845.6003,13.2687910548,1360764.3294,0.425382696911,19.6,19.53,19.4,8.3,0.000328297455505,2.1162555148,0.2
NLA12_CA-102,1,-116.75212,33.23503,EUTROPHIC,23.9,99.0,0.12244,1390.0,0.246212394016,0.132295858862,0.335438633852,0.0430696122018,382.194162541,30.7091238781,44.5378529703,70.3654877403,66.6327352045,1.2413745397,0.0052523884287,11.9782394471,43.6138348807,4.4946031003,12.5396116214,19.784058239,76.2919885317,4.59511985013,-2.1001341649,-2.02271450947,-1.09231624883,-3.14493758386,7.23705902612,3.17387845894,5.94592875838,2012-08-28,8,43.6138348807,11.9782394471,0.0052523884287,1.2413745397,66.6327352045,548995.4413,13.2158454168,4874562.5466,0.112624555753,25.3,24.18,23.6,0.25,0.00451374539256,-1.38629436112,1.7
NLA12_CA-103,1,-120.4273,39.11826,OLIGOTROPHIC,4.1,0.2,0.08536,322.0,-0.0,0.0,0.0,0.0,2153.40930481,237.161580693,87.8153780627,528.00140074,166.424181017,13.7179459414,30.8792098385,9.15410615483,8.5342707783,5.45147005664,157.889685196,447.628822267,460.75125406,-1.60943791243,-2.46087767199,-inf,-inf,-inf,5.77455154554,1.41098697371,7.67480758836,2012-08-13,8,8.5342707783,9.15410615483,30.8792098385,13.7179459414,166.424181017,28.2226,3.34012307542,14331.59,0.00196925812139,22.8,17.6476190476,8.5,19.15,0.00324477438152,2.95230271563,14.3
NLA12_CA-104,1,-119.07748,37.78624,MESOTROPHIC,4.9,2.2,0.06983,435.0,-0.0,0.0,0.0,0.0,449.573851823,55.8386655042,16.7138866152,66.7126424729,32.4185246478,0.938703803707,3.69839777921,7.55191597836,18.4409905593,0.0,22.0444834618,63.1786181659,162.037022834,0.788457360364,-2.66169156212,-inf,-inf,-inf,6.07534603109,1.58923520512,6.10830013813,2012-09-11,9,0.0,18.4409905593,7.55191597836,3.69839777921,0.938703803707,55991.5484,10.9329560369,645179.4501,0.086784457241,17.8,15.2384615385,9.8,15.5753568343,0.00297356475527,2.74568997512,8.0
NLA12_CA-105,1,-121.536814,38.50923,HYPEREUTROPHIC,688.0,12.0,0.0819,551.0,-0.0,0.0,0.0,0.0,549.094723582,64.7675235271,18.4504617751,107.985851794,60.2587721348,0.0,1.10957288742,0.0,0.0,0.0,40.6170892119,112.980966598,142.924485654,2.48490664979,-2.50225628812,-inf,-inf,-inf,6.31173480915,6.53378883793,6.30827096503,2012-07-11,7,0.0,1.10957288742,0.0,60.2587721348,107.985851794,1600424.1905,14.2857792711,4411222.4195,0.362807412164,25.8,23.86,21.0,3.4,0.00499706146468,1.22377543162,4.8
